epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
175,4331.45,0.88991,0.62913,1.27501,0.94946,0.88459,0.94107,0.59655,1.27071,0.60426,1.54032,2.53557e-05,2.53557e-05,2.53557e-05
176,4357.64,0.88066,0.6241,1.2614,0.94869,0.88462,0.9395,0.5941,1.27624,0.60902,1.53945,2.38398e-05,2.38398e-05,2.38398e-05
177,4383.17,0.90835,0.6415,1.27918,0.9492,0.88384,0.94242,0.5967,1.26723,0.60555,1.53979,2.23803e-05,2.23803e-05,2.23803e-05
178,4407.85,0.89759,0.63899,1.28243,0.94697,0.88418,0.94304,0.59524,1.27638,0.60588,1.54066,2.09776e-05,2.09776e-05,2.09776e-05
179,4433.94,0.88815,0.62425,1.27057,0.95211,0.88084,0.94366,0.59541,1.27587,0.60283,1.54584,1.9632e-05,1.9632e-05,1.9632e-05
180,4458.71,0.89102,0.63024,1.27925,0.94249,0.88626,0.94323,0.59359,1.27684,0.60385,1.54366,1.83439e-05,1.83439e-05,1.83439e-05
181,4482.66,0.8796,0.63584,1.2783,0.94004,0.88913,0.942,0.59293,1.27795,0.60125,1.54337,1.71135e-05,1.71135e-05,1.71135e-05
182,4507.58,0.89069,0.63678,1.27997,0.9431,0.88956,0.94404,0.59454,1.27319,0.60027,1.54199,1.59412e-05,1.59412e-05,1.59412e-05
183,4532.76,0.88891,0.62923,1.27477,0.94776,0.88682,0.94438,0.59714,1.27277,0.59954,1.54475,1.48273e-05,1.48273e-05,1.48273e-05
184,4557.4,0.8826,0.63646,1.2611,0.95452,0.8856,0.9463,0.59649,1.27021,0.59887,1.54267,1.3772e-05,1.3772e-05,1.3772e-05
185,4583.64,0.87328,0.6119,1.25707,0.9477,0.88547,0.94479,0.59638,1.27173,0.60143,1.54108,1.27757e-05,1.27757e-05,1.27757e-05
186,4608.36,0.89801,0.64216,1.27709,0.95052,0.88567,0.94503,0.59457,1.27579,0.60437,1.54413,1.18384e-05,1.18384e-05,1.18384e-05
187,4632.85,0.86466,0.62333,1.27127,0.95331,0.87711,0.94379,0.59437,1.27587,0.60679,1.54306,1.09606e-05,1.09606e-05,1.09606e-05
188,4657.3,0.88807,0.63435,1.2774,0.95344,0.8802,0.94393,0.59703,1.2702,0.6047,1.53792,1.01424e-05,1.01424e-05,1.01424e-05
189,4681.05,0.89165,0.62016,1.27551,0.94652,0.88246,0.94359,0.59533,1.27302,0.60628,1.53969,9.38391e-06,9.38391e-06,9.38391e-06
190,4705.51,0.89445,0.63632,1.27343,0.94731,0.88143,0.94397,0.5957,1.27148,0.60604,1.54107,8.68544e-06,8.68544e-06,8.68544e-06
191,4732.15,0.68459,0.41044,1.11309,0.9454,0.89134,0.94283,0.58602,1.27867,0.61025,1.54778,8.04714e-06,8.04714e-06,8.04714e-06
192,4754.22,0.68425,0.39976,1.11525,0.93769,0.89531,0.93917,0.57709,1.29356,0.6136,1.56191,7.46914e-06,7.46914e-06,7.46914e-06
193,4776.44,0.66506,0.38301,1.0964,0.93597,0.89219,0.93693,0.57859,1.28618,0.61136,1.55629,6.95161e-06,6.95161e-06,6.95161e-06
194,4798.03,0.67148,0.38337,1.10095,0.94135,0.89357,0.93833,0.58224,1.27756,0.6078,1.55198,6.49466e-06,6.49466e-06,6.49466e-06
195,4820.43,0.66696,0.37536,1.10654,0.94054,0.89482,0.9384,0.5821,1.27801,0.60749,1.55272,6.09841e-06,6.09841e-06,6.09841e-06
196,4842.25,0.66961,0.37314,1.1033,0.94136,0.89451,0.939,0.58158,1.28006,0.60868,1.55631,5.76296e-06,5.76296e-06,5.76296e-06
197,4864.84,0.67182,0.37537,1.09844,0.93809,0.89516,0.93895,0.58131,1.28153,0.60788,1.55903,5.48838e-06,5.48838e-06,5.48838e-06
198,4887.05,0.66482,0.36993,1.09922,0.94512,0.89415,0.93885,0.58128,1.28001,0.60713,1.55853,5.27476e-06,5.27476e-06,5.27476e-06
199,4909.21,0.66202,0.36861,1.09704,0.93945,0.89626,0.93976,0.58183,1.27926,0.60545,1.55877,5.12213e-06,5.12213e-06,5.12213e-06
200,4930.33,0.66298,0.36482,1.0967,0.94107,0.89082,0.93678,0.58205,1.27687,0.60627,1.5584,5.03053e-06,5.03053e-06,5.03053e-06
